Station,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
54012,0.861565728387039,11.6280876973342,0.244409081877226,0.863092530617235,0.925753128497154,1.81252646661228,0.17899240731008,0.89202607594892
50001,0.856571760655056,-5.42514476708185,1.00451309824342,0.906961153843553,0.918247704302557,-0.215308495698522,0.758382405714084,0.936424068250074
33034,0.740859950155742,-16.4590566896625,0.170745430687471,0.791350818378161,0.8149556404507,-18.2645070187675,0.144284522726177,0.791790487254174
68001,0.828425213538247,14.2021935935772,0.358412009427454,0.816129488852756,0.899386200582412,10.5743092615851,0.274463498218144,0.816683639397625
83006,0.662277887618677,2.52799074322656,2.19071686976388,0.717764546351952,0.759439612277858,10.1687634824783,1.84892187873658,0.764945762021324
36006,0.714237036479213,-9.63207943386237,0.321505106555577,0.830279041187959,0.844001804633582,-9.50201656278118,0.237544342769249,0.875352290308916
39021,0.858542408460406,-4.39801984154394,0.298617063120722,0.907890530343344,0.913430709798407,-2.42421214877705,0.233605690898825,0.904989900394896
33022,0.664023365470454,25.2288487414373,0.287534296435774,0.67238010004911,0.854981610539413,14.743344519058,0.188906392665715,0.739828856770282
39105,0.846763232422386,4.21185539013977,0.355738656015033,0.817841370474089,0.908751891124006,1.89452274967028,0.274512108164476,0.85971611393979
43009,0.827728570682161,-9.18325414236355,0.903497828631337,0.836110622896243,0.914605013634185,2.33594306570854,0.636116515641828,0.87232938209482
31002,0.468929297200525,-56.7178140892894,0.352779974588856,0.386559780783369,0.782527222706888,-30.1984916365401,0.225751270510472,0.680417650137084
40012,-0.365866356361861,-69.4137302556016,0.303061866678562,0.046007085592797,0.747762042355231,-20.1123428398656,0.130236408322072,0.776711908770417
39004,-37.4559187717283,-417.305722670637,0.619686248908645,-3.32814139394239,0.471276956629353,-27.7281146226383,0.072661503930351,0.554088215605243
61009000,0.349777190161265,-8.71264279812269,1.28709554979103,0.527463359714541,0.774066135997752,1.19271669243226,0.758700470501866,0.858759375942301
58710000,0.249125110084667,8.42101758961577,1.31643577794665,0.281375260922466,0.540533975022711,1.73618805675776,1.02977557797473,0.635756418741755
64764000,0.385938274565405,12.9102564954399,4.03908477367628,0.529361512691772,0.470530015924774,8.13753491035549,3.75057303127503,0.526457975506054
60810000,0.725928724460154,-11.7350942033426,0.305628240199703,0.814070709542365,0.546846697659706,-30.7931540186963,0.392992529552885,0.663435165379578
63250000,-1.31561543269843,28.0883236602619,0.450618541436397,0.469301928707983,0.367467398936147,10.698908787816,0.235514308196511,0.568820809531919
55520001,0.064068603402126,-24.1734360783272,0.325074162182054,0.006996052904881,0.489165510923947,-32.131762845772,0.240159930537484,0.527754984327278
65100000,0.544493278950224,11.014658875552,1.61519697483556,0.551047529718208,0.608605699225234,14.5154708549747,1.49721905788844,0.603029722992
64659000,0.477755833686307,5.1706920503756,3.46332012706199,0.506764913598118,0.461763274326008,20.1785709255854,3.51594847470224,0.423871933031809
54110002,0.6837332117182,-5.00295160956182,0.363433221458843,0.814062844437031,0.726065756939596,-17.4222585477623,0.338236905070448,0.749600319715365
50785000,-3.79250368272384,-36.2032082056754,1.42122573249409,-0.499610031327741,0.358925968753074,-8.7846553539796,0.519799583162415,0.37490676241663
40050000,0.751903382423731,8.67607919585426,0.890826342218507,0.846376517370196,0.840817912575076,-4.89311959202781,0.713558735062033,0.844388372850889
25130000,0.52092957142303,-31.1518884122546,1.05819834303022,0.512176921606984,0.799210636863778,-9.2175063632072,0.685074411344347,0.831251179106867
45131000,-0.996780435460663,-40.6126176657099,0.439826976881947,0.40560727837542,0.251889519149868,-29.6237539997712,0.269215199925401,0.615605389510195
33460000,-14.3396967715222,-25.9444265385112,0.228153250214025,-2.1264827267514,0.320448915279909,-10.2936017251881,0.048020793007516,0.67746981248374
42290000,0.63501702015518,4.8491649297641,0.912241726777065,0.636869518050727,0.905261077048227,12.4693635501228,0.464769744468356,0.858410612252247
45840000,-1.97831635089674,-17.9978163636944,0.278502128262908,0.085674575233508,-0.261077265335198,-20.4713584861759,0.181223266255417,0.660059494328088
34130000,-0.207250408472422,-13.9628466751664,0.340698384949457,0.416922418558319,0.549695704415433,-10.136993437975,0.208077173231109,0.71132094145183
60790000,0.368110800721427,-3.43139670201919,0.544894105689158,0.697374894476096,0.503364813427648,-22.7576745844676,0.483070355433368,0.680476301804758
24950000,0.711724927626921,-0.828827564096492,0.649524657531615,0.823502019061661,0.796755371336478,-9.87698516146858,0.545383049726963,0.834634276650613
22850000,0.616507925116276,-1.044650077012,0.942224529644873,0.771283184095519,0.729293963569648,-0.157403732726308,0.791635351117523,0.802476337489305
53091000,0.223028624025566,-5.03395098423779,1.57558184364687,0.296844840526639,0.232659568014535,20.7446801971356,1.56578633635098,0.225511496931691
53050000,0.171665223984853,-16.0931462174732,1.35772579428839,0.276991507939927,0.22638754026787,-3.36505606853057,1.31211182490432,0.275886494207645
57650000,-0.058577491751036,10.4437849210397,0.671429103031121,0.514760046382686,0.060101251158787,-32.0935699448035,0.632673100389141,0.409414051893704
57700000,0.586112739296481,25.5467523479728,0.921895057983683,0.692488031363362,0.723786955110357,8.05217499226629,0.753117171675269,0.810534159265131
