Station,NSE_HIRNN_MP,NSE_Hybrid_MP,PBIAS_HIRNN_MP,PBIAS_Hybrid_MP,RMSE_HIRNN_MP,RMSE_Hybrid_MP,KGE_HIRNN_MP,KGE_Hybrid_MP,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
40009,0.619671869631201,0.743259980575826,-7.39850271181485,-4.95579236752141,1.18550105075835,0.974023654186082,0.729855601474681,0.856790340331047,0.565986855482261,-7.1618660424393,1.26640950184809,0.713732268894199,0.744631150757177,-3.72293459318332,0.971419190406855,0.864893547651515
41005,0.743907142822504,0.871503721977098,10.999317321033,10.7891545792915,0.899983736765316,0.637501488177888,0.704472846657509,0.841776228235261,0.740710834568796,13.6022303291195,0.905582692609789,0.721318952042782,0.878594095445163,10.561025218413,0.619663382524253,0.84595428288767
40004,0.771209915285814,0.841553876110282,-5.4031440765584,5.41837209385085,1.17949071709108,0.981559741024613,0.709264438913367,0.74727776327436,0.770830927035816,-3.25043687578952,1.18046721954398,0.714837881289031,0.840721698659145,5.46742330752401,0.984133998275942,0.745656378812699
47011,0.71930248679971,0.83914397991959,-23.8686885251285,-3.45306768017245,1.67410860294559,1.26731041848191,0.726674010133377,0.874308282631521,0.708521605163413,-24.2060850110486,1.7059548395413,0.720807760587059,0.841139653317006,-3.1681442255131,1.25942438717903,0.884744726471051
66011,0.776958666208246,0.852540160108166,4.64603460316966,-3.77155033916694,3.08090377069914,2.50508424717053,0.798193387058806,0.889853605826795,0.776953652818646,4.75985840767062,3.08093839586001,0.800698219277174,0.852379619448159,-3.78630773493032,2.50644752844575,0.890014755762113
65006,0.829982416213741,0.888242891522625,11.8039868340083,-0.257067019791623,2.45084412717858,1.98703880944121,0.789815509004575,0.902765325655659,0.82945462019938,12.1666572982618,2.45464533226639,0.800450490696929,0.886808476319248,-0.095359029672413,1.99975008642028,0.90299381670505
65004,0.815288765159822,0.872062298659946,-4.38432270487604,1.45611817638198,2.04116032283583,1.69875103203893,0.859956092171611,0.860581255499024,0.816183778706343,-4.30241968407517,2.03620912285274,0.890764557104405,0.874565416726835,1.62913538678113,1.68205079852831,0.862734628326821
65007,0.800762172143801,0.862956692879088,7.05101457185269,8.98048331365564,2.59111703836796,2.14896848330299,0.789728405190216,0.815663393504305,0.798075435784897,7.7674069696251,2.60852923306401,0.806865313624934,0.862605013928733,9.12520554244594,2.15172404565127,0.81408256082234
54080,0.708169180131594,0.774634536161233,-13.2044427619159,-4.99555533677878,1.82071250020817,1.59999814047323,0.797584350434204,0.867507607690822,0.67691295946196,-11.7498359303073,1.91573558059233,0.771475820427552,0.772370063782594,-6.17382262598033,1.60801644020711,0.871843060769292
60010,0.905672032067758,0.921834778537924,8.35694745889969,5.24241443859008,1.0739334168822,0.977606089746475,0.863520028335592,0.832371915960674,0.904353263273117,9.29574611327499,1.0814145177126,0.870500636532899,0.925123677923873,4.3753429287508,0.956818070328275,0.832293154615719
50011,0.841074553161937,0.883324547240531,-1.7889454629607,2.02344423118318,1.62182669039688,1.38962452480228,0.86288700149648,0.857895352737493,0.814248444392828,-0.953100207868444,1.75337153801489,0.851669272919749,0.881086460085114,1.64450770985587,1.40288921531387,0.862178148161549
75003,0.901630654967166,0.959349866847723,-10.5641480680744,0.328093510955206,1.30723252915735,0.840337883763368,0.871721779709942,0.976707022446856,0.887609798356489,-10.2142496838624,1.39729202912451,0.855318184342298,0.95992965126294,0.644854669119316,0.83432357910817,0.976038744273225
74001,0.781472040308407,0.842000673033702,4.37188940361313,1.82356898331502,3.21157623045686,2.73081542927985,0.812370219206653,0.882388155986692,0.785236282746491,4.4760074408388,3.18379565470648,0.826244274162635,0.841624110274984,2.07105735954929,2.73406769444697,0.880999556768078
71008,0.758668044349261,0.846761557883563,-9.63172888311807,6.8872441775357,2.12630034480705,1.6943419263396,0.825196407127637,0.873763724406871,0.760640506294663,-8.63606335792079,2.11759314431904,0.850980358210115,0.848457971318208,6.97476723391704,1.68493728986853,0.872592356756787
28048,0.642851667082712,0.720907256074965,-3.31488266266748,4.68845599316928,0.95561681598075,0.844760780025035,0.676214640438166,0.699225977567353,0.640222771522011,1.01785415686672,0.959127417224859,0.710091479921778,0.722662529165742,3.12379346375862,0.842100150814678,0.722385151637834
54028,0.843410937471981,0.88932842205518,3.75932404165571,11.2695932609773,1.32844608273069,1.11681508534919,0.829000434095714,0.790067135639104,0.84810102311991,5.17624661480752,1.30840032947354,0.86188886880228,0.891077503785614,11.035942825753,1.10795472342427,0.79454171971013
58006,0.824514418837702,0.875766792861025,5.63660075576838,2.05332428055184,2.40144788187352,2.02055787722079,0.826950292357984,0.869523275334419,0.835912281212104,5.94208833757228,2.32215115220918,0.861709703905742,0.875873235808046,1.92356621945064,2.01969208526133,0.870872719256817
40007,0.774562447566936,0.873924648125791,-18.8980251516272,-14.9323577248797,0.958645009513838,0.716901980080334,0.751910863016168,0.815219166662489,0.7762345947744,-16.0621598024661,0.955083093753018,0.78174914905961,0.871277367002531,-14.7752698507294,0.724389493543576,0.813959079509313
45009,0.841173146603798,0.90273280440519,0.203195168290854,2.72779006527383,1.38635523165804,1.08491510775818,0.844773517346028,0.861939051142216,0.832120366581966,1.23395888912429,1.42531733050918,0.870833222496226,0.900098052393678,2.59115590648962,1.09951089507752,0.861691865785116
52006,0.7528237795979,0.853094116263133,-7.95733826882166,1.82674181826303,0.983807172484381,0.758448743117113,0.794269157338432,0.845594281977577,0.749967368099916,-6.86593609267787,0.98947536746631,0.815656824441869,0.851735575056044,1.183372713491,0.761947624941085,0.843579803101103
61830000,0.257545790821985,0.689348703466468,-12.8308863306168,-9.59668998662176,0.636836016266996,0.411935637456386,0.366605864812331,0.747397426233585,0.206306965905691,-14.9456364442934,0.658444333368299,0.334024005912992,0.715106575942635,-5.45825749491452,0.394488177747411,0.78961060749856
40330000,0.618584848839755,0.816193388747026,1.25655569819287,11.4819875344153,0.79462688308384,0.551626151926775,0.722028432136554,0.803891641398429,0.604506560531967,1.82563067408715,0.809159104511997,0.736899008535772,0.811476488140034,11.380824610705,0.558659314181153,0.804982926979603
86560000,0.51217709025716,0.561073947623367,-26.8313728830966,-13.1566077727765,2.84398012746205,2.69768440150159,0.639346608970389,0.647256718875002,0.504789551099031,-25.8842828545043,2.86543367897599,0.647887381085404,0.561889965053449,-13.024359079461,2.69517557161872,0.64937719467116
62477100,0.194403047752214,0.628218964421904,-7.94706445271467,2.39899465482261,0.660206443123538,0.448502086245748,0.561973992433498,0.686325393712612,0.023024203244994,-10.7828769791573,0.727047446622319,0.13336743383083,0.622961603036187,2.55362013389627,0.451662091517967,0.719240958785273
62600000,-0.2093759519682,0.334346420188114,-114.700990330214,17.9146714500763,1.28992251732474,0.956989330192109,-0.43776815875104,0.242391046110494,-0.22406688622104,-122.109355563364,1.29773355587263,-0.467627746405982,0.383868359613382,16.4581937615714,0.920703333672513,0.285312866178225
83050000,0.587371168541828,0.631766881079348,5.99087117515546,-1.8648798717248,2.29920733411033,2.17199976702485,0.631530817565747,0.679661314040467,0.586051050132953,6.15369950275838,2.30288231018036,0.630269800808524,0.631446270297565,-2.01930785375432,2.17294511250922,0.679984469985418
59100000,0.329830570227927,0.363066441487636,17.5112458193921,18.2514686526736,1.80982390110383,1.76437574309587,0.391619231245108,0.375334221655871,0.305833551276143,18.5622065911978,1.84194145456644,0.405512063172051,0.359700171470666,19.2771626904619,1.76903206728308,0.376916725541697
60477400,0.432970034681767,0.507737112166918,-14.3558521028785,11.1718826280987,0.842497529351785,0.784990097789019,0.681405119888385,0.62882571076472,0.256793697351902,-7.85114624902119,0.964540177749396,0.240593151904672,0.508731958393404,11.313584557539,0.78419647773301,0.613605086556478
1196445,-0.043505151755274,0.251436447231972,75.6684522323245,43.7447271645269,0.780778276022924,0.661294272578684,-0.086520075419035,0.176587050688972,0.033603079900528,74.2985404430881,0.751377508831489,-0.021297156790835,0.258213326790924,43.9300070742444,0.658294059184921,0.192029928419657
1160723,-0.081892481454813,0.335154663808854,-44.4504898088952,-35.9239669565828,0.602350518444364,0.472190831782513,0.379437355171834,0.408884698618395,-0.123427200528807,-47.170017249713,0.613803986235469,0.354329545878432,0.334901701762094,-35.8174946377068,0.472280653424567,0.408876366602979
1160304,0.59760891944523,0.60179054025704,9.93128248229204,12.8480714805674,0.784562576698101,0.780475369936272,0.739980097558756,0.641885400478978,0.597150143715755,10.0937878364122,0.785009698603519,0.746212017652042,0.60261645408973,13.9162619644432,0.779665570000098,0.641075544848645
