Station,NSE_HIRNN_UI,NSE_Hybrid_UI,PBIAS_HIRNN_UI,PBIAS_Hybrid_UI,RMSE_HIRNN_UI,RMSE_Hybrid_UI,KGE_HIRNN_UI,KGE_Hybrid_UI,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
53170000,-0.271559262856392,0.287320524983111,-61.3102335167269,-33.0050881857061,0.743949639117629,0.556957889413014,0.189687301078367,0.367884013004797,-0.39894546452179,-104.64542819596,0.780325190003696,-0.180796540237172,0.291677820012219,-32.7194967258201,0.555252669396586,0.377037207994928
50380000,-0.06071871900638,0.411230248803678,76.2591581899208,-24.0613512941527,0.225509598176986,0.168010977775069,-0.294094081368358,0.484209153009688,0.173066710341484,42.4890497121304,0.199113245971309,0.050438581167729,0.332689213508405,-46.2763646675206,0.178866490966133,0.324807616465473
53140000,-0.982705070799221,0.059831678905984,-91.3415348027871,-83.2744616224291,0.722989141892088,0.497858037785439,-0.183474159326296,0.001956299622906,-1.18294572746349,-141.358778247254,0.758619820752681,-0.611720595363751,0.075378856188576,-84.512059025185,0.493724440728567,-0.001208979831889
50420000,0.085901730631312,0.340138064991992,90.74737045279,-23.2865296681192,0.23166946370357,0.196833442492235,-0.309442630624331,0.331290375555151,0.124712878685012,-1.88315470013031,0.226697963731256,0.54627975722413,0.324440816898833,-6.26073617761187,0.199160886574374,0.422999865775035
50720000,-0.044517439374132,0.155201220321622,81.9429230748076,12.346954522242,0.127857819002217,0.114986295660278,-0.461192991608122,0.121844021721784,0.127255597553421,9.6685326075085,0.116872673906216,0.05589302723036,0.152297405224276,13.6097917453802,0.115183746529569,0.141142281193338
34730000,-0.874751355632892,-0.050411686085448,96.7326041209271,59.8927686793258,0.645573784544873,0.483229924378369,-0.440558496422454,-0.071019160550411,-0.611467608337689,75.8460623053103,0.598528504550675,-0.248356200602757,-0.030948899936783,58.5340489424823,0.478732176110596,-0.053193622856417
50040000,0.147320529855286,0.152597570097215,1.21906193742925,47.1326476582488,0.962802727500692,0.959818819574922,0.048269843566438,0.001115250800667,0.142812533089761,-2.13373112524033,0.965344473955871,0.041445745142963,0.159608553950323,45.3702958161591,0.955840042462769,0.012015259699654
50730000,0.237726902648899,0.429278463329899,21.2405412471066,-50.3235405795677,0.154413137051251,0.133610651147555,0.466442693412614,0.354779685017828,0.348420070420918,-45.4841020428805,0.142762057707965,0.36843800342917,0.484070652059216,-36.0223424302701,0.127035197252219,0.439909036258613
50740000,-2.42663723412751,0.171007245899378,-19.9880389656129,2.82142655719503,1.65830938206644,0.815655671418198,-0.127099441152155,0.154403285664438,-2.59319186187421,-41.1080085474609,1.69813298016315,-0.213684528485623,0.165472785493756,-0.944586311752216,0.81837385241296,0.158076778701021
G0050115,-2.29846642683176,0.140645870026629,-235.180270478751,-868.555204307058,0.113932995301956,0.058153996420023,-1.58931426827882,-7.69167717893749,-2.14978180917534,-580.774780390709,0.111335513470125,-4.94367281516038,0.419536067290334,-597.023731370089,0.047794849795608,-4.97505459399025
