Date,Pptn,PET,cum_effective_storage_mm,cum_designed_spill_cap_mm,cum_res_cat_area_km2,streamflow_mm
1997-06-08,0.3939045800936799,3.5498507,467.9791632,141.1986209,1372.75435466,0.0
1997-06-09,3.0962439611539803,3.161294,467.9791632,141.1986209,1372.75435466,0.4802466091188139
1997-06-10,5.085604747190849,3.4521706,467.9791632,141.1986209,1372.75435466,0.4533283278433646
1997-06-11,3.883636331697905,3.1777952,467.9791632,141.1986209,1372.75435466,0.4349749542464672
1997-06-12,6.116037382576477,3.0744996,467.9791632,141.1986209,1372.75435466,0.4459869784046055
1997-06-13,9.759063712444544,2.3370874,467.9791632,141.1986209,1372.75435466,0.431610169087036
1997-06-14,12.05778711781818,2.1981537,467.9791632,141.1986209,1372.75435466,0.4092802312108109
1997-06-15,3.898895614614591,1.9543128,467.9791632,141.1986209,1372.75435466,0.6423680758914072
1997-06-16,3.5807331215038003,3.4220922,467.9791632,141.1986209,1372.75435466,0.3921504158537067
1997-06-17,3.5404922622531547,3.085572,467.9791632,141.1986209,1372.75435466,0.3762441587363956
1997-06-18,10.555081136812024,2.8543513,467.9791632,141.1986209,1372.75435466,0.3490199879009979
1997-06-19,20.017792691760526,1.615353,467.9791632,141.1986209,1372.75435466,0.3453493131816184
1997-06-20,25.537501991100925,1.9073313,467.9791632,141.1986209,1372.75435466,0.3435139758219287
1997-06-21,16.373923197105356,2.4530942,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1997-06-22,12.027464101810548,1.871646,467.9791632,141.1986209,1372.75435466,0.3058895599482891
1997-06-23,21.26550970292872,2.5846403,467.9791632,141.1986209,1372.75435466,0.3055836703883409
1997-06-24,27.69773994199052,3.2092178,467.9791632,141.1986209,1372.75435466,0.2970187627097888
1997-06-25,34.922469187829684,2.9029286,467.9791632,141.1986209,1372.75435466,1.1293442553290838
1997-06-26,30.018134515673093,2.5448148,467.9791632,141.1986209,1372.75435466,1.6098967540078462
1997-06-27,53.12711889845982,2.4301224,467.9791632,141.1986209,1372.75435466,1.8123956426936132
1997-06-28,44.20308963681258,2.179661,467.9791632,141.1986209,1372.75435466,4.7749360307927935
1997-06-29,85.1404717311095,2.4490035,467.9791632,141.1986209,1372.75435466,8.222311371410013
1997-06-30,34.83671304852688,1.7431347,467.9791632,141.1986209,1372.75435466,9.41528065520834
