Date,Pptn,PET,streamflow_mm
1978-12-06,0.0,10.22703434,0.08895598
1978-12-07,0.0,12.01876276,0.07568503
1978-12-08,0.513718904,6.722125224,0.06366104
1978-12-09,0.329858785,3.355682586,0.05386373
1978-12-10,0.304909219,6.685205205,0.05055403
1978-12-11,0.0,7.525622158,0.05291829
1978-12-12,0.0,8.878682283,0.05057986
1978-12-13,0.0,10.65077346,0.04639642
1978-12-14,0.317821122,2.635507755,0.041602
1978-12-15,1.08890386,2.720780122,0.04171086
1978-12-16,7.748957756,6.397511866,0.0543748
1978-12-17,0.928244798,7.771688161,0.06815208
1978-12-18,0.0,7.594014803,0.05960965
1978-12-19,0.0,6.621856074,0.04924591
1978-12-20,0.181170146,7.668258376,0.04118081
1978-12-21,2.193476833,5.767115219,0.04044781
1978-12-22,2.069468771,5.494149299,0.04574565
1978-12-23,0.307733699,6.708540964,0.07235635
1978-12-24,2.151311417,6.035843947,0.06631286
1978-12-25,0.0,7.725689465,0.05936505
1978-12-26,0.0,6.180161515,0.04991302
1978-12-27,0.15245461,7.093275123,0.04706932
1978-12-28,0.0,8.882515288,0.04303084
1978-12-29,0.0,10.35891078,0.03975514
1978-12-30,0.0,12.43120397,0.03681365
1978-12-31,0.060793545,6.47538677,0.03150817
1979-01-01,0.0,7.329791657,0.02791487
1979-01-02,0.0,7.97895103,0.02453614
1979-01-03,1.577874947,6.877269756,0.0221559
1979-01-04,0.000537996,5.769199951,0.02021397
1979-01-05,0.0,7.270881083,0.01843679
1979-01-06,0.093207803,5.373234822,0.0172956
1979-01-07,0.725756559,7.50538005,0.01694515
1979-01-08,0.0,4.848150784,0.01608851
1979-01-09,0.0,7.06045732,0.01559331
1979-01-10,0.0,7.4332886,0.01517897
1979-01-11,0.0,8.115265754,0.01462884
1979-01-12,2.843510482,4.350773514,0.0146418
1979-01-13,0.395965038,5.80759926,0.01551144
1979-01-14,0.0,8.799865693,0.01645195
1979-01-15,0.0,5.450638979,0.01960994
1979-01-16,0.0,6.256825895,0.02153888
1979-01-17,0.303227982,8.581842736,0.02109159
1979-01-18,0.002017485,4.802959166,0.0187563
1979-01-19,6.374445342,5.252185845,0.01719077
1979-01-20,0.619435114,6.717148755,0.01605158
1979-01-21,0.0,9.496570522,0.0150262
1979-01-22,0.0,9.08856772,0.01529278
1979-01-23,0.0,8.532078223,0.01554539
1979-01-24,0.767720254,7.618897165,0.01463084
1979-01-25,1.038937474,7.715870957,0.01318411
1979-01-26,0.0,9.85736405,0.01226458
1979-01-27,0.0,12.51735054,0.01113637
1979-01-28,0.029791527,4.628312122,0.01034262
1979-01-29,0.899327524,7.766375435,0.00934628
1979-01-30,0.0,6.383254947,0.00816028
1979-01-31,0.0,2.10611974,0.00762254
1979-02-01,0.005783457,6.120914616,0.00672375
1979-02-02,0.080228649,6.659986646,0.00649452
1979-02-03,0.0,7.505245615,0.00609114
1979-02-04,0.0,8.242232654,0.0058724
1979-02-05,0.0,9.062340427,0.00586191
1979-02-06,0.0,10.39583075,0.00565364
1979-02-07,0.0,8.98493628,0.00539536
1979-02-08,0.0,6.88271699,0.00522673
1979-02-09,0.0,8.527034479,0.00490514
1979-02-10,0.0,7.11203776,0.00440174
1979-02-11,0.0,4.713248313,0.00388245
1979-02-12,0.042299933,2.31856084,0.0035292
1979-02-13,8.954001462,4.396368626,0.00333163
1979-02-14,0.0,3.207666485,0.00310488
1979-02-15,2.557700146,4.75756574,0.00297051
1979-02-16,0.084801616,6.086819115,0.0039088
1979-02-17,0.076529927,7.688971174,0.00472061
1979-02-18,0.0,7.1780095,0.00500788
1979-02-19,0.0,5.291190515,0.00787823
1979-02-20,0.0,6.35191671,0.0078229
1979-02-21,0.0,3.260322844,0.0065077
1979-02-22,1.201479509,6.389038438,0.00636531
1979-02-23,0.0,7.8344319,0.00613068
1979-02-24,0.0,7.803497092,0.00570907
1979-02-25,0.561600546,3.404236799,0.00469425
1979-02-26,16.76166816,3.782985846,0.00516871
1979-02-27,6.62246144,4.644788227,0.00561682
1979-02-28,0.148150642,3.62239419,0.00489196
1979-03-01,0.0,5.568527268,0.00525828
1979-03-02,0.0,6.376328299,0.00911705
1979-03-03,0.0,8.396503423,0.01196104
1979-03-04,0.0,8.19314049,0.01120725
1979-03-05,0.0,7.406119794,0.00914341
1979-03-06,0.0,9.1899126,0.00761993
1979-03-07,0.0,6.400403597,0.00667891
1979-03-08,0.0,7.03920648,0.00596734
1979-03-09,0.0,7.589710869,0.00497103
1979-03-10,0.0,3.124815096,0.00430148
1979-03-11,0.286281108,3.634230104,0.00400366
1979-03-12,2.153866909,3.47215875,0.00387457
1979-03-13,0.056691326,7.577874969,0.00453611
1979-03-14,3.785944943,2.83194353,0.00424876
1979-03-15,14.45258941,5.087491617,0.00645756
1979-03-16,0.22468057,3.100000143,0.01255111
1979-03-17,0.023268326,6.413786229,0.02682947
1979-03-18,0.0,5.293745945,0.01844979
1979-03-19,0.156893077,3.043510446,0.01489441
1979-03-20,3.083523919,3.505581716,0.01308927
1979-03-21,0.194149298,3.340753199,0.01352657
1979-03-22,4.770948315,3.759045071,0.01314418
1979-03-23,0.170208478,3.333423023,0.01246726
1979-03-24,0.0,5.10161405,0.01144486
1979-03-25,0.01338265,3.331876253,0.01044547
1979-03-26,4.854270368,3.246267679,0.01042749
1979-03-27,9.075588772,2.968796317,0.01038255
1979-03-28,0.728984549,4.052723556,0.01026075
1979-03-29,0.0,3.359246843,0.01113637
1979-03-30,6.21788839,2.266106262,0.01747232
1979-03-31,0.106724952,3.496234032,0.02066726
1979-04-01,0.49710828,3.081640987,0.02857986
1979-04-02,0.871149971,4.559717509,0.02600182
1979-04-03,0.785003382,3.104640302,0.02300256
1979-04-04,1.779018197,1.937390705,0.02078806
1979-04-05,0.047545394,3.334767988,0.01922554
